id,text,category
121,Car R description line 121 with features on performance and comfort.,comfort
122,Car S description line 122 with features on performance and comfort.,climate
123,Car T description line 123 with features on performance and comfort.,offroad
124,Car U description line 124 with features on performance and comfort.,offroad
125,Car V description line 125 with features on performance and comfort.,comfort
126,Car W description line 126 with features on performance and comfort.,city
127,Car X description line 127 with features on performance and comfort.,city
128,Car Y description line 128 with features on performance and comfort.,comfort
129,Car Z description line 129 with features on performance and comfort.,comfort
130,Car A description line 130 with features on performance and comfort.,city
131,Car B description line 131 with features on performance and comfort.,city
132,Car C description line 132 with features on performance and comfort.,offroad
133,Car D description line 133 with features on performance and comfort.,city
134,Car E description line 134 with features on performance and comfort.,offroad
135,Car F description line 135 with features on performance and comfort.,climate
136,Car G description line 136 with features on performance and comfort.,city
137,Car H description line 137 with features on performance and comfort.,long-trip
138,Car I description line 138 with features on performance and comfort.,long-trip
139,Car J description line 139 with features on performance and comfort.,long-trip
140,Car K description line 140 with features on performance and comfort.,comfort
141,Car L description line 141 with features on performance and comfort.,comfort
142,Car M description line 142 with features on performance and comfort.,economy
143,Car N description line 143 with features on performance and comfort.,city
144,Car O description line 144 with features on performance and comfort.,economy
145,Car P description line 145 with features on performance and comfort.,economy
146,Car Q description line 146 with features on performance and comfort.,city
147,Car R description line 147 with features on performance and comfort.,offroad
148,Car S description line 148 with features on performance and comfort.,comfort
149,Car T description line 149 with features on performance and comfort.,city
150,Car U description line 150 with features on performance and comfort.,offroad
151,Car V description line 151 with features on performance and comfort.,offroad
152,Car W description line 152 with features on performance and comfort.,economy
153,Car X description line 153 with features on performance and comfort.,offroad
154,Car Y description line 154 with features on performance and comfort.,city
155,Car Z description line 155 with features on performance and comfort.,economy
156,Car A description line 156 with features on performance and comfort.,long-trip
157,Car B description line 157 with features on performance and comfort.,climate
158,Car C description line 158 with features on performance and comfort.,comfort
159,Car D description line 159 with features on performance and comfort.,climate
160,Car E description line 160 with features on performance and comfort.,comfort
161,Car F description line 161 with features on performance and comfort.,offroad
162,Car G description line 162 with features on performance and comfort.,offroad
163,Car H description line 163 with features on performance and comfort.,economy
164,Car I description line 164 with features on performance and comfort.,city
165,Car J description line 165 with features on performance and comfort.,city
166,Car K description line 166 with features on performance and comfort.,comfort
167,Car L description line 167 with features on performance and comfort.,offroad
168,Car M description line 168 with features on performance and comfort.,comfort
169,Car N description line 169 with features on performance and comfort.,economy
170,Car O description line 170 with features on performance and comfort.,offroad
171,Car P description line 171 with features on performance and comfort.,offroad
172,Car Q description line 172 with features on performance and comfort.,long-trip
173,Car R description line 173 with features on performance and comfort.,comfort
174,Car S description line 174 with features on performance and comfort.,city
175,Car T description line 175 with features on performance and comfort.,comfort
176,Car U description line 176 with features on performance and comfort.,economy
177,Car V description line 177 with features on performance and comfort.,climate
178,Car W description line 178 with features on performance and comfort.,comfort
179,Car X description line 179 with features on performance and comfort.,long-trip
180,Car Y description line 180 with features on performance and comfort.,climate
181,Car Z description line 181 with features on performance and comfort.,climate
182,Car A description line 182 with features on performance and comfort.,comfort
183,Car B description line 183 with features on performance and comfort.,climate
184,Car C description line 184 with features on performance and comfort.,city
185,Car D description line 185 with features on performance and comfort.,climate
186,Car E description line 186 with features on performance and comfort.,economy
187,Car F description line 187 with features on performance and comfort.,economy
188,Car G description line 188 with features on performance and comfort.,long-trip
189,Car H description line 189 with features on performance and comfort.,comfort
190,Car I description line 190 with features on performance and comfort.,comfort
191,Car J description line 191 with features on performance and comfort.,economy
192,Car K description line 192 with features on performance and comfort.,economy
193,Car L description line 193 with features on performance and comfort.,long-trip
194,Car M description line 194 with features on performance and comfort.,comfort
195,Car N description line 195 with features on performance and comfort.,long-trip
196,Car O description line 196 with features on performance and comfort.,long-trip
197,Car P description line 197 with features on performance and comfort.,economy
198,Car Q description line 198 with features on performance and comfort.,long-trip
199,Car R description line 199 with features on performance and comfort.,offroad
200,Car S description line 200 with features on performance and comfort.,comfort
